CASE_ID;EVENT_ID;ACTIVITY;START_TIMESTAMP;END_TIMESTAMP;RECURSO;AGENTE;duration_seconds
00044a5f68c82574;0;START-DIALOGUE-SYTEM;2025-07-11 04:53:10.509884;2025-07-11 04:53:10.509884;;syst;0.0
00044a5f68c82574;1;SAUDAÇÃO INICIAL DO CHATBOT;2025-07-11 04:53:10.509884;2025-07-11 04:53:11.509884;;ai;1.0
00044a5f68c82574;2;FINALIZAÇÃO COM RECLAMAÇÃO;2025-07-11 04:53:11.509884;2025-07-11 04:57:00.851884;;human;229.342
00044a5f68c82574;3;ENTREGA DE RESPOSTA SEM SOLUÇÃO;2025-07-11 04:57:00.851884;2025-07-11 04:57:36.579581;cartoes_credito_outros_produtos;ai;35.727697
00044a5f68c82574;4;FINALIZAÇÃO COM RECLAMAÇÃO;2025-07-11 04:57:36.579581;2025-07-11 05:00:22.248272;;human;165.668691
00044a5f68c82574;5;ENTREGA DA SOLUÇÃO;2025-07-11 05:00:22.248272;2025-07-11 05:00:53.335591;cartoes_credito_outros_produtos;ai;31.087319
00044a5f68c82574;6;FINALIZAÇÃO COM RECLAMAÇÃO;2025-07-11 05:00:53.335591;2025-07-11 05:03:37.166683;;human;163.831092
00044a5f68c82574;7;ENTREGA DA SOLUÇÃO;2025-07-11 05:03:37.166683;2025-07-11 05:04:22.722576;cartoes_credito_outros_produtos;ai;45.555893
00044a5f68c82574;8;REJEIÇÃO DA SOLUÇÃO;2025-07-11 05:04:22.722576;2025-07-11 05:06:56.607380;;human;153.884804
00044a5f68c82574;9;REAFIRMAÇÃO DE CONTEXTO;2025-07-11 05:06:56.607380;2025-07-11 05:07:39.875489;cartoes_credito_outros_produtos;ai;43.268109
00044a5f68c82574;10;AGRADECIMENTO ESPONTÂNEO;2025-07-11 05:07:39.875489;2025-07-11 05:09:39.144912;;human;119.269423
00044a5f68c82574;11;END-DIALOGUE-SYSTEM;2025-07-11 05:09:39.144912;2025-07-11 05:09:39.144912;;syst;0.0
005a0f2a331bb065;12;START-DIALOGUE-SYTEM;2025-07-26 05:03:24.424568;2025-07-26 05:03:24.424568;;syst;0.0
005a0f2a331bb065;13;SAUDAÇÃO INICIAL DO CHATBOT;2025-07-26 05:03:24.424568;2025-07-26 05:03:25.424568;;ai;1.0
005a0f2a331bb065;14;RELATO DE FRAUDE;2025-07-26 05:03:25.424568;2025-07-26 05:04:49.925261;;human;84.500693
005a0f2a331bb065;15;ENTREGA DA SOLUÇÃO;2025-07-26 05:04:49.925261;2025-07-26 05:05:43.149173;cartoes_credito_outros_produtos;ai;53.223912
005a0f2a331bb065;16;URGÊNCIA COM LINGUAGEM AGRESSIVA;2025-07-26 05:05:43.149173;2025-07-26 05:07:00.309135;;human;77.159962
005a0f2a331bb065;17;ENTREGA DA SOLUÇÃO;2025-07-26 05:07:00.309135;2025-07-26 05:07:40.309176;cartoes_credito_outros_produtos;ai;40.000041
005a0f2a331bb065;18;URGÊNCIA COM LINGUAGEM AGRESSIVA;2025-07-26 05:07:40.309176;2025-07-26 05:09:06.479283;;human;86.170107
005a0f2a331bb065;19;ENTREGA DA SOLUÇÃO;2025-07-26 05:09:06.479283;2025-07-26 05:09:49.837216;cartoes_credito_outros_produtos;ai;43.357933
005a0f2a331bb065;20;REJEIÇÃO DA SOLUÇÃO;2025-07-26 05:09:49.837216;2025-07-26 05:10:55.613251;;human;65.776035
005a0f2a331bb065;21;ENTREGA DA SOLUÇÃO;2025-07-26 05:10:55.613251;2025-07-26 05:11:54.095139;cartoes_credito_outros_produtos;ai;58.481888
005a0f2a331bb065;22;REJEIÇÃO DA SOLUÇÃO;2025-07-26 05:11:54.095139;2025-07-26 05:12:57.430361;;human;63.335222
005a0f2a331bb065;23;ESCLARECIMENTO PROATIVO;2025-07-26 05:12:57.430361;2025-07-26 05:14:02.521463;cartoes_credito_outros_produtos;ai;65.091102
005a0f2a331bb065;24;FINALIZAÇÃO COM RECLAMAÇÃO;2025-07-26 05:14:02.521463;2025-07-26 05:14:40.468179;;human;37.946716
005a0f2a331bb065;25;END-DIALOGUE-SYSTEM;2025-07-26 05:14:40.468179;2025-07-26 05:14:40.468179;;syst;0.0
00c961eef72f6abb;26;START-DIALOGUE-SYTEM;2025-07-16 23:37:58.300363;2025-07-16 23:37:58.300363;;syst;0.0
00c961eef72f6abb;27;SAUDAÇÃO INICIAL DO CHATBOT;2025-07-16 23:37:58.300363;2025-07-16 23:37:59.300363;;ai;1.0
00c961eef72f6abb;28;RELATO DE FRAUDE;2025-07-16 23:37:59.300363;2025-07-16 23:40:06.074354;;human;126.773991
00c961eef72f6abb;29;ESCLARECIMENTO PROATIVO;2025-07-16 23:40:06.074354;2025-07-16 23:40:47.056310;cartoes_credito_outros_produtos;ai;40.981956
00c961eef72f6abb;30;URGÊNCIA COM LINGUAGEM AGRESSIVA;2025-07-16 23:40:47.056310;2025-07-16 23:42:54.606981;;human;127.550671
00c961eef72f6abb;31;ENTREGA DA SOLUÇÃO;2025-07-16 23:42:54.606981;2025-07-16 23:43:31.942590;cartoes_credito_outros_produtos;ai;37.335609
00c961eef72f6abb;32;URGÊNCIA COM LINGUAGEM AGRESSIVA;2025-07-16 23:43:31.942590;2025-07-16 23:45:34.415308;;human;122.472718
00c961eef72f6abb;33;RESPOSTA COM DADOS;2025-07-16 23:45:34.415308;2025-07-16 23:46:10.142086;cartoes_credito_outros_produtos;ai;35.726778
00c961eef72f6abb;34;URGÊNCIA COM LINGUAGEM AGRESSIVA;2025-07-16 23:46:10.142086;2025-07-16 23:48:00.894855;;human;110.752769
00c961eef72f6abb;35;END-DIALOGUE-SYSTEM;2025-07-16 23:48:00.894855;2025-07-16 23:48:00.894855;;syst;0.0
00e56b3efb827f29;36;START-DIALOGUE-SYTEM;2025-07-04 12:28:00.787112;2025-07-04 12:28:00.787112;;syst;0.0
00e56b3efb827f29;37;SAUDAÇÃO INICIAL DO CHATBOT;2025-07-04 12:28:00.787112;2025-07-04 12:28:01.787112;;ai;1.0
00e56b3efb827f29;38;EXPANSÃO DA INTENÇÃO;2025-07-04 12:28:01.787112;2025-07-04 12:30:22.576747;;human;140.789635
00e56b3efb827f29;39;ESCLARECIMENTO PROATIVO;2025-07-04 12:30:22.576747;2025-07-04 12:30:59.629977;cartoes_credito_outros_produtos;ai;37.05323
00e56b3efb827f29;40;FINALIZAÇÃO COM RECLAMAÇÃO;2025-07-04 12:30:59.629977;2025-07-04 12:33:19.296682;;human;139.666705
00e56b3efb827f29;41;ESCLARECIMENTO PROATIVO;2025-07-04 12:33:19.296682;2025-07-04 12:33:49.986989;cartoes_credito_outros_produtos;ai;30.690307
00e56b3efb827f29;42;RESPOSTA COM INSATISFAÇÃO;2025-07-04 12:33:49.986989;2025-07-04 12:35:57.381471;;human;127.394482
00e56b3efb827f29;43;ESCLARECIMENTO PROATIVO;2025-07-04 12:35:57.381471;2025-07-04 12:36:34.612860;cartoes_credito_outros_produtos;ai;37.231389
00e56b3efb827f29;44;FINALIZAÇÃO COM RECLAMAÇÃO;2025-07-04 12:36:34.612860;2025-07-04 12:38:58.322036;;human;143.709176
00e56b3efb827f29;45;ESCLARECIMENTO PROATIVO;2025-07-04 12:38:58.322036;2025-07-04 12:39:55.691648;cartoes_credito_outros_produtos;ai;57.369612
