CASE_ID;EVENT_ID;ACTIVITY;START_TIMESTAMP;END_TIMESTAMP;RECURSO;AGENTE
00044a5f68c82574;0;START-DIALOGUE-SYTEM;2025-07-11 04:53:10.509;2025-07-11 04:53:10.509;;syst
00044a5f68c82574;1;SAUDAÇÃO INICIAL DO CHATBOT;2025-07-11 04:53:10.509;2025-07-11 04:53:11.509;;ai
00044a5f68c82574;2;RESPOSTA COM INSATISFAÇÃO;2025-07-11 04:53:11.509;2025-07-11 04:57:00.851;;human
00044a5f68c82574;3;ENCAMINHAMENTO OUTROS CANAIS;2025-07-11 04:57:00.851;2025-07-11 04:57:36.579;cartoes_credito_outros_produtos;ai
00044a5f68c82574;4;RESPOSTA COM INSATISFAÇÃO;2025-07-11 04:57:36.579;2025-07-11 05:00:22.248;;human
00044a5f68c82574;5;ENCAMINHAMENTO OUTROS CANAIS;2025-07-11 05:00:22.248;2025-07-11 05:00:53.335;cartoes_credito_outros_produtos;ai
00044a5f68c82574;6;RESPOSTA COM INSATISFAÇÃO;2025-07-11 05:00:53.335;2025-07-11 05:03:37.166;;human
00044a5f68c82574;7;ENCAMINHAMENTO OUTROS CANAIS;2025-07-11 05:03:37.166;2025-07-11 05:04:22.722;cartoes_credito_outros_produtos;ai
00044a5f68c82574;8;ENTREGA DE INFORMAÇÕES;2025-07-11 05:04:22.722;2025-07-11 05:06:56.607;;human
00044a5f68c82574;9;ENCAMINHAMENTO OUTROS CANAIS;2025-07-11 05:06:56.607;2025-07-11 05:07:39.875;cartoes_credito_outros_produtos;ai
00044a5f68c82574;10;REDIRECIONAMENTO A OUTRO CANAL;2025-07-11 05:07:39.875;2025-07-11 05:09:39.144;;human
00044a5f68c82574;11;END-DIALOGUE-SYSTEM;2025-07-11 05:09:39.144;2025-07-11 05:09:39.144;;syst
005a0f2a331bb065;12;START-DIALOGUE-SYTEM;2025-07-26 05:03:24.424;2025-07-26 05:03:24.424;;syst
005a0f2a331bb065;13;SAUDAÇÃO INICIAL DO CHATBOT;2025-07-26 05:03:24.424;2025-07-26 05:03:25.424;;ai
005a0f2a331bb065;14;RELATO DE FRAUDE;2025-07-26 05:03:25.424;2025-07-26 05:04:49.925;;human
005a0f2a331bb065;15;ENCAMINHAMENTO OUTROS CANAIS;2025-07-26 05:04:49.925;2025-07-26 05:05:43.149;cartoes_credito_outros_produtos;ai
005a0f2a331bb065;16;RESPOSTA COM INSATISFAÇÃO;2025-07-26 05:05:43.149;2025-07-26 05:07:00.309;;human
005a0f2a331bb065;17;ENTREGA DA SOLUÇÃO;2025-07-26 05:07:00.309;2025-07-26 05:07:40.309;cartoes_credito_outros_produtos;ai
005a0f2a331bb065;18;RELATO DE FRAUDE;2025-07-26 05:07:40.309;2025-07-26 05:09:06.479;;human
005a0f2a331bb065;19;ENTREGA DE RESPOSTA SEM SOLUÇÃO;2025-07-26 05:09:06.479;2025-07-26 05:09:49.837;cartoes_credito_outros_produtos;ai
005a0f2a331bb065;20;BLOQUEIO DE CONTA/CARTÃO;2025-07-26 05:09:49.837;2025-07-26 05:10:55.613;;human
005a0f2a331bb065;21;ENCAMINHAMENTO OUTROS CANAIS;2025-07-26 05:10:55.613;2025-07-26 05:11:54.095;cartoes_credito_outros_produtos;ai
005a0f2a331bb065;22;RESPOSTA COM INSATISFAÇÃO;2025-07-26 05:11:54.095;2025-07-26 05:12:57.430;;human
005a0f2a331bb065;23;FLUXOS DIRECIONADOS;2025-07-26 05:12:57.430;2025-07-26 05:14:02.521;cartoes_credito_outros_produtos;ai
005a0f2a331bb065;24;RESPOSTA COM INSATISFAÇÃO;2025-07-26 05:14:02.521;2025-07-26 05:14:40.468;;human
005a0f2a331bb065;25;END-DIALOGUE-SYSTEM;2025-07-26 05:14:40.468;2025-07-26 05:14:40.468;;syst
